timestamp,solved,solution,guess1,result1,guess2,result2,guess3,result3,guess4,result4,guess5,result5,guess6,result6
2026-01-07T01:00:00,yes,pecan,crane,"c:present,r:absent,a:present,n:present,e:present",acnes,"a:present,c:present,n:present,e:present,s:absent",eniac,"e:present,n:present,i:absent,a:correct,c:present",decan,"d:absent,e:correct,c:correct,a:correct,n:correct",pecan,"p:correct,e:correct,c:correct,a:correct,n:correct",,
2026-01-08T01:00:00,yes,blast,crane,"c:absent,r:absent,a:correct,n:absent,e:absent",loast,"l:present,o:absent,a:correct,s:correct,t:correct",plast,"p:absent,l:correct,a:correct,s:correct,t:correct",blast,"b:correct,l:correct,a:correct,s:correct,t:correct",,,,
2026-01-09T01:00:00,yes,eight,crane,"c:absent,r:absent,a:absent,n:absent,e:present",solei,"s:absent,o:absent,l:absent,e:present,i:present",tepid,"t:present,e:present,p:absent,i:present,d:absent",eight,"e:correct,i:correct,g:correct,h:correct,t:correct",,,,
2026-01-10T01:00:00,yes,manic,crane,"c:present,r:absent,a:present,n:present,e:absent",ascon,"a:present,s:absent,c:present,o:absent,n:present",linac,"l:absent,i:present,n:correct,a:present,c:correct",panic,"p:absent,a:correct,n:correct,i:correct,c:correct",manic,"m:correct,a:correct,n:correct,i:correct,c:correct",,
2026-01-11T01:00:00,yes,quark,crane,"c:absent,r:present,a:correct,n:absent,e:absent",roast,"r:present,o:absent,a:correct,s:absent,t:absent",liard,"l:absent,i:absent,a:correct,r:correct,d:absent",pharm,"p:absent,h:absent,a:correct,r:correct,m:absent",quark,"q:correct,u:correct,a:correct,r:correct,k:correct",,
2026-01-12T01:00:00,yes,trial,crane,"c:absent,r:correct,a:present,n:absent,e:absent",arils,"a:present,r:correct,i:correct,l:present,s:absent",trial,"t:correct,r:correct,i:correct,a:correct,l:correct",,,,,,
2026-01-13T01:00:00,yes,gumbo,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:absent,o:present,i:absent,l:absent,s:absent",udyog,"u:present,d:absent,y:absent,o:present,g:present",mugho,"m:present,u:correct,g:present,h:absent,o:correct",gumbo,"g:correct,u:correct,m:correct,b:correct,o:correct",,
2026-01-14T01:00:00,yes,avoid,crane,"c:absent,r:absent,a:present,n:absent,e:absent",alios,"a:correct,l:absent,i:present,o:present,s:absent",audio,"a:correct,u:absent,d:present,i:correct,o:present",avoid,"a:correct,v:correct,o:correct,i:correct,d:correct",,,,
2026-01-15T01:00:00,yes,chasm,crane,"c:correct,r:absent,a:correct,n:absent,e:absent",coals,"c:correct,o:absent,a:correct,l:absent,s:present",chasm,"c:correct,h:correct,a:correct,s:correct,m:correct",,,,,,
2026-01-16T01:00:00,yes,racer,crane,"c:present,r:present,a:present,n:absent,e:present",acers,"a:present,c:present,e:present,r:present,s:absent",recal,"r:correct,e:present,c:correct,a:present,l:absent",raced,"r:correct,a:correct,c:correct,e:correct,d:absent",racer,"r:correct,a:correct,c:correct,e:correct,r:correct",,
2026-01-17T01:00:00,yes,fiery,crane,"c:absent,r:present,a:absent,n:absent,e:present",osier,"o:absent,s:absent,i:present,e:present,r:present",relit,"r:present,e:present,l:absent,i:present,t:absent",fiery,"f:correct,i:correct,e:correct,r:correct,y:correct",,,,
2026-01-18T01:00:00,yes,sumac,crane,"c:present,r:absent,a:present,n:absent,e:absent",socia,"s:correct,o:absent,c:present,i:absent,a:present",sumac,"s:correct,u:correct,m:correct,a:correct,c:correct",,,,,,
2026-01-19T01:00:00,no,,crane,"c:absent,r:absent,a:present,n:present,e:present",neosa,"n:present,e:present,o:absent,s:absent,a:present",alien,"a:present,l:absent,i:absent,e:correct,n:correct",tapen,"t:absent,a:correct,p:absent,e:correct,n:correct",yamen,"y:absent,a:correct,m:absent,e:correct,n:correct",dawen,"d:absent,a:correct,w:present,e:correct,n:correct"
2026-01-20T01:00:00,yes,sully,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:absent,o:absent,i:absent,l:correct,s:present",sully,"s:correct,u:correct,l:correct,l:correct,y:correct",,,,,,
2026-01-21T01:00:00,yes,cubic,crane,"c:correct,r:absent,a:absent,n:absent,e:absent",coils,"c:correct,o:absent,i:present,l:absent,s:absent",cubit,"c:correct,u:correct,b:correct,i:correct,t:absent",cubic,"c:correct,u:correct,b:correct,i:correct,c:correct",,,,
2026-01-22T01:00:00,yes,clink,crane,"c:correct,r:absent,a:absent,n:correct,e:absent",cions,"c:correct,i:present,o:absent,n:correct,s:absent",clint,"c:correct,l:correct,i:correct,n:correct,t:absent",cling,"c:correct,l:correct,i:correct,n:correct,g:absent",clink,"c:correct,l:correct,i:correct,n:correct,k:correct",,
2026-01-23T01:00:00,yes,baron,crane,"c:absent,r:present,a:present,n:present,e:absent",sonar,"s:absent,o:present,n:present,a:present,r:present",radon,"r:present,a:correct,d:absent,o:correct,n:correct",maron,"m:absent,a:correct,r:correct,o:correct,n:correct",baron,"b:correct,a:correct,r:correct,o:correct,n:correct",,
2026-01-24T01:00:00,yes,cliff,crane,"c:correct,r:absent,a:absent,n:absent,e:absent",coils,"c:correct,o:absent,i:correct,l:present,s:absent",clipt,"c:correct,l:correct,i:correct,p:absent,t:absent",climb,"c:correct,l:correct,i:correct,m:absent,b:absent",click,"c:correct,l:correct,i:correct,c:absent,k:absent",cliff,"c:correct,l:correct,i:correct,f:correct,f:correct"
2026-01-25T01:00:00,yes,strut,crane,"c:absent,r:present,a:absent,n:absent,e:absent",loirs,"l:absent,o:absent,i:absent,r:present,s:present",durst,"d:absent,u:present,r:correct,s:present,t:correct",strut,"s:correct,t:correct,r:correct,u:correct,t:correct",,,,
2026-01-26T01:00:00,no,,crane,"c:absent,r:correct,a:present,n:absent,e:present",arles,"a:present,r:correct,l:absent,e:present,s:absent",oread,"o:absent,r:correct,e:correct,a:correct,d:absent",great,"g:absent,r:correct,e:correct,a:correct,t:absent",bream,"b:absent,r:correct,e:correct,a:correct,m:absent",preak,"p:absent,r:correct,e:correct,a:correct,k:correct"
2026-01-27T01:00:00,yes,dusky,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:absent,o:absent,i:absent,l:absent,s:present",pudsy,"p:absent,u:correct,d:present,s:present,y:correct",dusky,"d:correct,u:correct,s:correct,k:correct,y:correct",,,,
2026-01-28T01:00:00,yes,cruel,crane,"c:correct,r:correct,a:absent,n:absent,e:present",cries,"c:correct,r:correct,i:absent,e:correct,s:absent",cruel,"c:correct,r:correct,u:correct,e:correct,l:correct",,,,,,
2026-01-29T01:00:00,yes,flaky,crane,"c:absent,r:absent,a:correct,n:absent,e:absent",loast,"l:present,o:absent,a:correct,s:absent,t:absent",miaul,"m:absent,i:absent,a:correct,u:absent,l:present",glady,"g:absent,l:correct,a:correct,d:absent,y:correct",flaky,"f:correct,l:correct,a:correct,k:correct,y:correct",,
2026-01-30T01:00:00,yes,jumbo,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:absent,o:present,i:absent,l:absent,s:absent",udyog,"u:present,d:absent,y:absent,o:present,g:absent",khoum,"k:absent,h:absent,o:present,u:present,m:present",jumbo,"j:correct,u:correct,m:correct,b:correct,o:correct",,
2026-01-31T01:00:00,yes,allot,crane,"c:absent,r:absent,a:present,n:absent,e:absent",alios,"a:correct,l:correct,i:absent,o:correct,s:absent",allot,"a:correct,l:correct,l:correct,o:correct,t:correct",,,,,,
2026-02-01T01:00:00,yes,spiny,crane,"c:absent,r:absent,a:absent,n:correct,e:absent",loins,"l:absent,o:absent,i:correct,n:correct,s:present",suint,"s:correct,u:absent,i:correct,n:correct,t:absent",spiny,"s:correct,p:correct,i:correct,n:correct,y:correct",,,,
2026-02-02T01:00:00,yes,cigar,crane,"c:correct,r:present,a:present,n:absent,e:absent",carls,"c:correct,a:present,r:present,l:absent,s:absent",copra,"c:correct,o:absent,p:absent,r:present,a:present",cimar,"c:correct,i:correct,m:absent,a:correct,r:correct",cigar,"c:correct,i:correct,g:correct,a:correct,r:correct",,
2026-02-03T01:00:00,yes,weigh,crane,"c:absent,r:absent,a:absent,n:absent,e:present",solei,"s:absent,o:absent,l:absent,e:present,i:present",tepid,"t:absent,e:correct,p:absent,i:present,d:absent",beigy,"b:absent,e:correct,i:correct,g:correct,y:absent",weigh,"w:correct,e:correct,i:correct,g:correct,h:correct",,
2026-02-04T01:00:00,yes,chide,crane,"c:correct,r:absent,a:absent,n:absent,e:correct",cosie,"c:correct,o:absent,s:absent,i:present,e:correct",clipe,"c:correct,l:absent,i:correct,p:absent,e:correct",chide,"c:correct,h:correct,i:correct,d:correct,e:correct",,,,
2026-02-05T01:00:00,yes,swoop,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:absent,o:present,i:absent,l:absent,s:present",shoud,"s:correct,h:absent,o:correct,u:absent,d:absent",smoky,"s:correct,m:absent,o:correct,k:absent,y:absent",spoof,"s:correct,p:present,o:correct,o:correct,f:absent",swoop,"s:correct,w:correct,o:correct,o:correct,p:correct"
2026-02-06T01:00:00,no,,crane,"c:absent,r:absent,a:present,n:absent,e:present",aloes,"a:present,l:present,o:absent,e:correct,s:absent",pilea,"p:absent,i:absent,l:present,e:correct,a:present",lated,"l:present,a:correct,t:absent,e:correct,d:absent",hamel,"h:absent,a:correct,m:absent,e:correct,l:correct",bagel,"b:absent,a:correct,g:present,e:correct,l:correct"
2026-02-07T01:00:00,yes,bleat,crane,"c:absent,r:absent,a:present,n:absent,e:present",aloes,"a:present,l:correct,o:absent,e:present,s:absent",eliad,"e:present,l:correct,i:absent,a:correct,d:absent",pleat,"p:absent,l:correct,e:correct,a:correct,t:correct",bleat,"b:correct,l:correct,e:correct,a:correct,t:correct",,
2026-02-08T01:00:00,yes,embed,crane,"c:absent,r:absent,a:absent,n:absent,e:present",solei,"s:absent,o:absent,l:absent,e:correct,i:absent",muted,"m:present,u:absent,t:absent,e:correct,d:correct",embed,"e:correct,m:correct,b:correct,e:correct,d:correct",,,,
2026-02-09T01:00:00,yes,cello,crane,"c:correct,r:absent,a:absent,n:absent,e:present",coles,"c:correct,o:present,l:correct,e:present,s:absent",celom,"c:correct,e:correct,l:correct,o:present,m:absent",cello,"c:correct,e:correct,l:correct,l:correct,o:correct",,,,
2026-02-10T01:00:00,yes,scene,crane,"c:present,r:absent,a:absent,n:correct,e:correct",scone,"s:correct,c:correct,o:absent,n:correct,e:correct",scene,"s:correct,c:correct,e:correct,n:correct,e:correct",,,,,,
2026-02-11T01:00:00,no,,crane,"c:absent,r:absent,a:present,n:present,e:present",neosa,"n:present,e:correct,o:absent,s:absent,a:present",penal,"p:absent,e:correct,n:present,a:correct,l:absent",deman,"d:absent,e:correct,m:absent,a:correct,n:correct",geyan,"g:present,e:correct,y:absent,a:correct,n:correct",began,"b:absent,e:correct,g:correct,a:correct,n:correct"
2026-02-12T01:00:00,yes,surge,crane,"c:absent,r:present,a:absent,n:absent,e:correct",torse,"t:absent,o:absent,r:correct,s:present,e:correct",sprue,"s:correct,p:absent,r:correct,u:present,e:correct",surge,"s:correct,u:correct,r:correct,g:correct,e:correct",,,,
2026-02-13T01:00:00,yes,mooch,crane,"c:present,r:absent,a:absent,n:absent,e:absent",locis,"l:absent,o:correct,c:present,i:absent,s:absent",touch,"t:absent,o:correct,u:absent,c:correct,h:correct",pooch,"p:absent,o:correct,o:correct,c:correct,h:correct",mooch,"m:correct,o:correct,o:correct,c:correct,h:correct",,
2026-02-14T01:00:00,yes,bloom,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:absent,o:present,i:absent,l:present,s:absent",pulmo,"p:absent,u:absent,l:present,m:present,o:present",gloom,"g:absent,l:correct,o:correct,o:correct,m:correct",bloom,"b:correct,l:correct,o:correct,o:correct,m:correct",,
2026-02-15T01:00:00,yes,skull,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:absent,o:absent,i:absent,l:correct,s:present",sully,"s:correct,u:present,l:present,l:correct,y:absent",skulk,"s:correct,k:correct,u:correct,l:correct,k:absent",skull,"s:correct,k:correct,u:correct,l:correct,l:correct",,
2026-02-16T01:00:00,yes,roost,crane,"c:absent,r:present,a:absent,n:absent,e:absent",loirs,"l:absent,o:correct,i:absent,r:present,s:present",roust,"r:correct,o:correct,u:absent,s:correct,t:correct",royst,"r:correct,o:correct,y:absent,s:correct,t:correct",roost,"r:correct,o:correct,o:correct,s:correct,t:correct",,
2026-02-17T01:00:00,yes,squad,crane,"c:absent,r:absent,a:present,n:absent,e:absent",alios,"a:present,l:absent,i:absent,o:absent,s:present",ustad,"u:present,s:present,t:absent,a:correct,d:correct",squad,"s:correct,q:correct,u:correct,a:correct,d:correct",,,,
2026-02-18T01:00:00,yes,mogul,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:absent,o:correct,i:absent,l:present,s:absent",moldy,"m:correct,o:correct,l:present,d:absent,y:absent",mogul,"m:correct,o:correct,g:correct,u:correct,l:correct",,,,
2026-02-19T01:00:00,yes,hoist,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:present,o:correct,i:correct,l:absent,s:present",moist,"m:absent,o:correct,i:correct,s:correct,t:correct",hoist,"h:correct,o:correct,i:correct,s:correct,t:correct",,,,
2026-02-20T01:00:00,yes,stank,crane,"c:absent,r:absent,a:correct,n:correct,e:absent",loans,"l:absent,o:absent,a:correct,n:correct,s:present",stand,"s:correct,t:correct,a:correct,n:correct,d:absent",stang,"s:correct,t:correct,a:correct,n:correct,g:absent",stank,"s:correct,t:correct,a:correct,n:correct,k:correct",,
2026-02-21T01:00:00,yes,awake,crane,"c:absent,r:absent,a:correct,n:absent,e:correct",slate,"s:absent,l:absent,a:correct,t:absent,e:correct",poake,"p:absent,o:absent,a:correct,k:correct,e:correct",quake,"q:absent,u:absent,a:correct,k:correct,e:correct",meake,"m:absent,e:absent,a:correct,k:correct,e:correct",awake,"a:correct,w:correct,a:correct,k:correct,e:correct"
2026-02-22T01:00:00,yes,guava,crane,"c:absent,r:absent,a:correct,n:absent,e:absent",loast,"l:absent,o:absent,a:correct,s:absent,t:absent",imagy,"i:absent,m:absent,a:correct,g:present,y:absent",guava,"g:correct,u:correct,a:correct,v:correct,a:correct",,,,
2026-02-23T01:00:00,yes,attic,crane,"c:present,r:absent,a:present,n:absent,e:absent",socia,"s:absent,o:absent,c:present,i:correct,a:present",aulic,"a:correct,u:absent,l:absent,i:correct,c:correct",attic,"a:correct,t:correct,t:correct,i:correct,c:correct",,,,
2026-02-24T01:00:00,yes,buyer,crane,"c:absent,r:present,a:absent,n:absent,e:present",osier,"o:absent,s:absent,i:absent,e:correct,r:correct",luter,"l:absent,u:correct,t:absent,e:correct,r:correct",duper,"d:absent,u:correct,p:absent,e:correct,r:correct",buyer,"b:correct,u:correct,y:correct,e:correct,r:correct",,
2026-02-25T01:00:00,yes,shred,crane,"c:absent,r:present,a:absent,n:absent,e:present",osier,"o:absent,s:present,i:absent,e:correct,r:present",rules,"r:present,u:absent,l:absent,e:correct,s:present",strep,"s:correct,t:absent,r:correct,e:correct,p:absent",shred,"s:correct,h:correct,r:correct,e:correct,d:correct",,
2026-02-26T01:00:00,yes,lance,crane,"c:present,r:absent,a:present,n:present,e:correct",naice,"n:present,a:correct,i:absent,c:correct,e:correct",lance,"l:correct,a:correct,n:correct,c:correct,e:correct",,,,,,
2026-02-27T01:00:00,yes,dizzy,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:absent,o:absent,i:present,l:absent,s:absent",humid,"h:absent,u:absent,m:absent,i:present,d:present",dippy,"d:correct,i:correct,p:absent,p:absent,y:correct",divvy,"d:correct,i:correct,v:absent,v:absent,y:correct",dizzy,"d:correct,i:correct,z:correct,z:correct,y:correct"
2026-02-28T01:00:00,yes,hydra,crane,"c:absent,r:present,a:present,n:absent,e:absent",ioras,"i:absent,o:absent,r:present,a:present,s:absent",ultra,"u:absent,l:absent,t:absent,r:correct,a:correct",hydra,"h:correct,y:correct,d:correct,r:correct,a:correct",,,,
2026-03-01T01:00:00,yes,fluke,crane,"c:absent,r:absent,a:absent,n:absent,e:correct",toise,"t:absent,o:absent,i:absent,s:absent,e:correct",duple,"d:absent,u:present,p:absent,l:present,e:correct",glume,"g:absent,l:correct,u:correct,m:absent,e:correct",fluke,"f:correct,l:correct,u:correct,k:correct,e:correct",,
2026-03-02T01:00:00,yes,slime,crane,"c:absent,r:absent,a:absent,n:absent,e:correct",toise,"t:absent,o:absent,i:correct,s:present,e:correct",slide,"s:correct,l:correct,i:correct,d:absent,e:correct",slipe,"s:correct,l:correct,i:correct,p:absent,e:correct",slime,"s:correct,l:correct,i:correct,m:correct,e:correct",,
2026-03-03T01:00:00,yes,linen,crane,"c:absent,r:absent,a:absent,n:present,e:present",eosin,"e:present,o:absent,s:absent,i:present,n:correct",limen,"l:correct,i:correct,m:absent,e:correct,n:correct",liken,"l:correct,i:correct,k:absent,e:correct,n:correct",liven,"l:correct,i:correct,v:absent,e:correct,n:correct",linen,"l:correct,i:correct,n:correct,e:correct,n:correct"
2026-03-04T01:00:00,yes,theft,crane,"c:absent,r:absent,a:absent,n:absent,e:present",solei,"s:absent,o:absent,l:absent,e:present,i:absent",dempt,"d:absent,e:present,m:absent,p:absent,t:correct",wheft,"w:absent,h:correct,e:correct,f:correct,t:correct",theft,"t:correct,h:correct,e:correct,f:correct,t:correct",,
